ог41,1513.0,2372.2,163.91
I,1662.7,2441.4,168.30
II,1582.6,2542.0,164.42
III,1465.9,2673.5,165.09
ог42,1309.0,2517.8,163.46
1,1432.4,2407.2,161.22
2,1431.5,2297.1,160.21
3,1542.2,2220.1,160.62
4,1556.8,2247.8,160.58
5,1645.4,2323.8,163.99
6,1748.6,2392.4,165.05
7,1780.2,2499.2,165.60
8,1693.5,2565.6,164.21
9,1538.9,2436.2,164.12
10,1635.2,2611.3,163.61
11,1459.9,2493.3,163.42
12,1494.9,2450.2,162.43
13,1547.3,2502.5,163.93
14,1579.9,2670.6,163.40
15,1515.2,2739.0,163.73
16,1398.6,2622.5,165.58
17,1464.5,2592.0,165.49
18,1337.8,2563.4,165.15
19,1218.8,2434.3,161.87
20,1243.6,2456.1,159.76
21,1334.0,2372.0,160.04
22,1368.2,2469.3,163.05
23,1399.4,2549.9,165.15
